Buffer Size (KB),Speed (MB/s)
4,4032.142818741205
8,9035.654387269624
16,10297.570392641317
32,10942.131849234363
64,11391.579704532796
128,11626.937059756685
256,11406.317995695046
512,11873.926132282166
1024,11645.484606784528
2048,10722.625484591883
4096,11066.998053275742
